,title,date,location,description,category,url,coordenadasLocalidad
41,Afrotopos. Hacia una utopía africana,2019-08-03 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
42,Afrotopos. Hacia una utopía africana,2019-08-04 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
43,Afrotopos. Hacia una utopía africana,2019-08-05 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
44,Afrotopos. Hacia una utopía africana,2019-08-06 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
45,Afrotopos. Hacia una utopía africana,2019-08-07 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
46,Afrotopos. Hacia una utopía africana,2019-08-08 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
47,Afrotopos. Hacia una utopía africana,2019-08-09 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
48,Afrotopos. Hacia una utopía africana,2019-08-10 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
49,Afrotopos. Hacia una utopía africana,2019-08-11 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
50,Afrotopos. Hacia una utopía africana,2019-08-12 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
51,Afrotopos. Hacia una utopía africana,2019-08-13 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
52,Afrotopos. Hacia una utopía africana,2019-08-14 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
53,Afrotopos. Hacia una utopía africana,2019-08-15 20:00:00,"Museo de la Naturaleza y Arqueología, santa cruz","La muestra pretende presentar diferentes visiones sobre África, pero, especialmente, contrapone la mirada colonial y eurocéntrica caracterizada por el pesimismo y condescendencia, frente a una nueva mirada propia, contemporánea, optimista, construida por los propios africanos a partir de su sociocultura y sus propios universos mitológicos.",arte,https://www.lagenda.org/programacion/afrotopos-utopia-africana-muna-santa-cruz-esposicion-12935,"[28.46, -16.25]"
